Date,MSFT_Log_Returns,^DJI_Log_Returns,^GSPC_Log_Returns
11/08/2025,-0.00051738,-0.004549479,-0.002507268
12/08/2025,0.014215179,0.010935296,0.011281559
13/08/2025,-0.016498427,0.010375023,0.003224873
14/08/2025,0.003642904,-0.000245071,0.000303045
15/08/2025,-0.004430891,0.000775882,-0.00290134
18/08/2025,-0.005919485,-0.000763445,-0.000100768
19/08/2025,-0.014276509,0.000232634,-0.005875329
20/08/2025,-0.007976562,0.000356977,-0.002434631
21/08/2025,-0.001288229,-0.003406203,-0.00401222
22/08/2025,0.005912222,0.018719063,0.015072285
25/08/2025,-0.005872512,-0.007683535,-0.004275513
26/08/2025,-0.004412201,0.002990096,0.004125474
27/08/2025,0.009318232,0.003234886,0.00238813
28/08/2025,0.005706533,0.00157163,0.003151747
29/08/2025,-0.005805263,-0.002018376,-0.00641874
02/09/2025,-0.003103353,-0.005483687,-0.00694635
03/09/2025,0.000455282,-0.000542761,0.005087112
04/09/2025,0.005171141,0.007702731,0.008311847
05/09/2025,-0.025864673,-0.004843439,-0.003170173
08/09/2025,0.006443859,0.002509792,0.002103764
09/09/2025,0.00042143,0.004305577,0.002684547
10/09/2025,0.003924788,-0.004833617,0.002979028
11/09/2025,0.001278326,0.013473684,0.008450088
12/09/2025,0.017588493,-0.005955524,-0.000482878
15/09/2025,0.010651039,0.001073522,0.004695578
16/09/2025,-0.01233906,-0.002740048,-0.00128876
17/09/2025,0.001923309,0.005675165,-0.000970639
18/09/2025,-0.003082999,0.002693156,0.004777688
19/09/2025,0.018473176,0.003738961,0.004873524
22/09/2025,-0.00674167,0.001429813,0.004400351
23/09/2025,-0.010198558,-0.001915479,-0.005517352
24/09/2025,0.001804909,-0.003711561,-0.002850677
25/09/2025,-0.006134642,-0.003778946,-0.005021649
26/09/2025,0.008699227,0.006507318,0.005884489
29/09/2025,0.006120401,0.001486144,0.002632077
30/09/2025,0.006488994,0.001765006,0.004082504
01/10/2025,0.003392208,0.000930879,0.003394154
02/10/2025,-0.007668186,0.001691405,0.000618164
03/10/2025,0.003116719,0.005115097,6.55E-05
06/10/2025,0.021455787,-0.001354956,0.003639959
07/10/2025,-0.008721815,-0.001971926,-0.003818688
08/10/2025,0.001658948,-2.57E-05,0.005810748
09/10/2025,-0.004678791,-0.005235787,-0.002759374
10/10/2025,-0.022142343,-0.019139069,-0.027485975
13/10/2025,0.006029174,0.0128455,0.015478263
14/10/2025,-0.000934099,0.004394357,-0.001565551
15/10/2025,-0.00027266,-0.000370766,0.004017919
16/10/2025,-0.003551118,-0.00653044,-0.00631428
17/10/2025,0.003843272,0.005173958,0.005256874
20/10/2025,0.006230654,0.011108497,0.010615724
21/10/2025,0.001682128,0.004659991,3.27E-05
22/10/2025,0.005548201,-0.007150276,-0.005351835
23/10/2025,3.83E-05,0.003090261,0.00581048
24/10/2025,0.005841893,0.010059762,0.007871362
27/10/2025,0.01499383,0.007123252,0.012215141
28/10/2025,0.019654273,0.003396951,0.002285331
29/10/2025,-0.000959739,-0.001560151,-4.36E-05
30/10/2025,-0.029590534,-0.002309494,-0.009954191
31/10/2025,-0.015236564,0.000857128,0.002614501
03/11/2025,-0.00150735,-0.004766974,0.001719234
04/11/2025,-0.005235828,-0.005325924,-0.01180625
05/11/2025,-0.014038609,0.004783287,0.003646898
06/11/2025,-0.020035353,-0.008462909,-0.011241135
07/11/2025,-0.000563407,0.001593211,0.001261046
10/11/2025,0.018308874,0.008087043,0.015283627
11/11/2025,0.005282432,0.011738898,0.0020732
12/11/2025,0.004824512,0.006796656,0.000629319
13/11/2025,-0.015477104,-0.016667078,-0.016695452
14/11/2025,0.013597021,-0.006548076,-0.000501851
17/11/2025,-0.005286527,-0.011889531,-0.009204498
18/11/2025,-0.027366658,-0.010757319,-0.00829071
19/11/2025,-0.013599885,0.001019863,0.003746808
20/11/2025,-0.016130735,-0.008412357,-0.015689726
21/11/2025,-0.013276695,0.010720992,0.009775103
24/11/2025,0.00397415,0.004376991,0.015348819
25/11/2025,0.006288144,0.014198071,0.009020886
26/11/2025,0.017683866,0.006656959,0.006882969
28/11/2025,0.013319758,0.006081373,0.005340487
01/12/2025,-0.010769021,-0.008990964,-0.005337549
02/12/2025,0.00667535,0.003907253,0.002454221
03/12/2025,-0.025359684,0.008566512,0.002975361
04/12/2025,0.006488876,-0.000667622,0.001079739
05/12/2025,0.004813242,0.002172035,0.001934769
08/12/2025,0.016137024,-0.004507443,-0.003483315
09/12/2025,0.002034461,-0.003757234,-0.000876743
10/12/2025,-0.027737719,0.010405263,0.006726881
11/12/2025,0.010207635,0.01335799,0.002077192
12/12/2025,-0.010270345,-0.005062912,-0.010720913
15/12/2025,-0.007783101,-0.000856616,-0.001597839
16/12/2025,0.003301083,-0.00626324,-0.002386764
17/12/2025,-0.000566979,-0.004756101,-0.011659857
18/12/2025,0.016373686,0.001374881,0.007902952
19/12/2025,0.004000413,0.003809876,0.008779407
22/12/2025,-0.002060027,0.004721144,0.006415871
23/12/2025,0.003972085,0.001647237,0.004540067
24/12/2025,0.002400284,0.005942991,0.003216304
26/12/2025,-0.000635419,-0.000414429,-0.00030441
29/12/2025,-0.001251472,-0.005125701,-0.003498163
30/12/2025,0.000779783,-0.00195956,-0.001376614
31/12/2025,-0.007949745,-0.00630031,-0.007384867
02/01/2026,-0.022330965,0.006617253,0.001892914
05/01/2026,-0.000190249,0.012218552,0.006334025
06/01/2026,0.011898856,0.009851809,0.006177592
07/01/2026,0.010312111,-0.009466021,-0.003445854
08/01/2026,-0.011148448,0.005496151,7.65E-05
09/01/2026,0.002444173,0.004818487,0.006454611
12/01/2026,-0.004391218,0.001738323,0.00157639
13/01/2026,-0.013736507,-0.008062447,-0.001941006
14/01/2026,-0.024279488,-0.000861474,-0.005347634
15/01/2026,-0.005938636,0.005939897,0.002576604
16/01/2026,0.006982917,-0.001682425,-0.000642509
20/01/2026,-0.011680089,-0.017798258,-0.020842461
21/01/2026,-0.023169669,0.01206668,0.011521118
22/01/2026,0.015705451,0.006231533,0.005472501
